0.82|1.25|0.73|5.9393333E7|1.448823E7
0.25|-0.65|1.9|5.7983042E7|6.8209106E7
-2.0|0.96|1.06|6.5336524E7|8759891.0
-0.05|-0.69|-0.34|3936433.0|4.8380418E7
-0.6|0.81|1.91|2.1723174E7|7.0345735E7
0.22|-0.32|-1.73|6258618.0|6.4686851E7
0.74|1.75|-1.91|6.3840416E7|1.7364502E7
-0.99|-1.6|1.09|4097874.0|6.5778218E7
0.98|-1.13|0.62|2.6036844E7|891564.0
-0.51|1.86|0.49|3.5894052E7|7.6406295E7
1.85|0.2|-0.76|6.165265E7|7.1104966E7
-1.47|1.85|-0.78|9.3872617E7|1.7760097E7
-0.05|0.99|-0.37|9.3103691E7|8.717403E7
-0.11|1.83|0.86|7.5565828E7|2.3800207E7
1.81|-1.0|0.44|3.1846282E7|8.8862208E7
1.78|1.08|-1.76|9.4363194E7|7.6794536E7
1.77|0.24|-0.12|1.7523661E7|3.2981272E7
-1.31|-0.26|-1.49|9.6571862E7|3.913334E7
1.06|1.48|-1.32|3.4937766E7|1.7172021E7
1.37|-0.75|0.92|3.5106223E7|6.670101E7
-0.46|1.67|1.64|5.8257593E7|4.083378E7
0.82|1.65|1.05|7.7399774E7|6.1048113E7
1.06|0.59|1.59|4.4906136E7|5.8331265E7
1.58|1.6|0.01|3297145.0|2.313203E7
0.38|0.94|-1.5|7.075283E7|6.2698152E7
-0.43|-0.83|-0.93|7.3012198E7|3.4827935E7
0.51|-0.65|0.03|3.1397728E7|9.8931146E7
1.14|-0.09|-1.24|9.0661477E7|6.9595255E7
0.29|-0.93|1.31|6.5205686E7|4.7264304E7
-1.28|-0.48|-0.45|8.2937767E7|5.8793562E7
0.62|-0.38|-0.49|6.4609502E7|6.7416427E7
-1.49|0.42|-1.8|1.8974522E7|2828401.0
1.76|-1.81|0.34|8.0661442E7|5.9348914E7
-1.8|1.76|0.2|5.4456326E7|9711433.0
-1.28|-0.68|-1.17|3.6575016E7|6.1963571E7
0.65|-1.23|1.8|4.8515071E7|687001.0
-0.15|-0.96|1.34|7.3019016E7|7.6030095E7
0.45|1.39|-1.6|4.8171652E7|3.5081397E7
0.05|-1.27|1.79|2.2892049E7|7.5934133E7
1.99|-0.52|1.59|4.2701559E7|2.0042152E7
-0.49|-1.33|1.91|6.17012E7|8.6912194E7
-0.42|0.28|-0.77|3.1078735E7|3234477.0
-0.24|1.86|1.15|1.3971539E7|2.9025526E7
0.83|0.36|-0.78|2.0234226E7|9.6997116E7
0.61|1.47|-0.23|2.7602591E7|3988265.0
